id,topology,noise_p,purification,policy,success,fidelity,hops,path,latency_ms
91,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
92,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
93,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
94,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
95,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
96,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
97,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
98,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
99,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
100,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
101,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
102,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
103,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
104,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
105,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
106,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
107,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
108,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
109,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
110,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
111,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
112,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
113,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
114,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
115,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
116,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
117,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
118,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
119,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
120,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
121,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
122,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
123,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
124,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
125,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
126,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
127,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
128,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
129,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
130,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
131,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
132,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
